OBJECTID,GlobalID,Collection_Date,Tissue_Sample,Head_Length,Ear_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,Location,Date,Latitude,Longitude,Notes
2,{A720CCF9-2B13-4707-B8D2-426CE01002E3},2025-11-08T16:19:58Z,RC2025-22,45.51,18,43,211,93,Unknown,Unknown,Adult,76,94,Dipodomys venustus,Di,108,Yes,Hastings,2025-11-08T16:20:10Z,NA,NA,NA NA
3,{E90F2F02-96F0-4E67-A73E-A4B3C000C67D},2025-11-08T17:07:49Z,RC2025-23,47.27,17,45,236,NA,NA,Female,Adult,NA,88,Dipodomys venustus,Di,948,Yes,Hastings,2025-11-08T17:09:58Z,NA,NA,NA NA
4,{865AF038-9B16-44EE-91E3-5A336500AB37},2025-11-08T17:19:22Z,RC2025-24,47,20,46,233,110,Non-Reproductive,Male,Adult,89,110,Dipodomys venustus,Di,917,No,Hastings,2025-11-08T17:19:23Z,NA,NA,NA NA
9,{249F3771-070B-4272-B753-B653046018F3},2025-11-22T15:36:11Z,RC2025-84,41.88,16,41,232,117,Non-Reproductive,Female,Adult,79,98,Dipodomys venustus,Di,127,No,Hastings,2025-11-22T15:36:13Z,NA,NA,NA NA
16,{36898FCB-FE74-4BDA-831E-2F5B0A13235B},2025-11-23T17:58:17Z,RC2025-85,43.4,16,44,209,98,Non-Reproductive,Female,Adult,NA,86,Dipodomys venustus,Di,B130,No,Hastings,2025-11-23T17:58:25Z,NA,NA,NA NA
17,{DC67F73F-FF2D-4C80-B6EF-149E1AB3441C},2025-11-23T18:08:03Z,RC2025-86,44.37,19,45,214,120,Reproductive,Female,Adult,NA,105,Dipodomys venustus,Di,131,No,Hastings,2025-11-23T18:08:16Z,NA,NA,Missing 2 fingers on right foot NA
20,{A6D7521A-2861-4ED1-8716-F37CA38D878F},2026-01-18T17:45:13Z,RC2025-82,47.9,16,42,200,104,Non-Reproductive,Female,Adult,76,100,Dipodomys venustus,DI,844,No,Hastings,2026-01-18T17:45:23Z,NA,NA,"Only a few ticks, sub adult. NA"
79,{10BF9F13-01B5-49BB-B553-A68EFAD124FE},2025-07-12T15:31:38Z,RC2025-17,42,16,42,185,101,NA,Female,Adult,65,NA,Dipodomys heermanni,Di,101,NA,FONR,2025-07-12T15:18:27Z,36.68743170695581,-121.7795968,Tissue 17 NA
85,{16E7C340-4355-4874-8791-F7EF2761148F},2025-07-12T16:14:24Z,RC2025-15,43.35,14,40,197,96,NA,Female,Adult,75,NA,Dipodomys heermanni,Di,110,NA,FONR,2025-07-12T16:04:41Z,36.6783161,-121.7676939,Tissue 15 NA
93,{76E00EAD-2023-4012-B853-FFA25979B897},2025-07-12T17:16:45Z,RC2025-16,43.66,15,43,200,99,Unknown,Male,Adult,66,NA,Dipodomys heermanni,Di,103,NA,FONR,2025-07-12T17:08:45Z,36.66717448403249,-121.766191,Tissue 16 NA
97,{334CEBBF-60A1-411A-9C22-4DA9081D7352},2025-07-12T17:45:37Z,RC2025-09,NA,16,42,188,118,Lactating,Female,Adult,82,NA,Dipodomys heermanni,Di,109,NA,FONR,2025-07-12T17:33:18Z,36.66295344328213,-121.7529567,Tissue 9 NA
99,{C2335301-C703-461F-B05F-E33666370ADE},2025-07-12T18:05:12Z,RC2025-05,39.77,15,39,182,110,Reproductive,Male,Adult,79,NA,Dipodomys heermanni,Di,407,yes,FONR,2025-07-12T17:50:15Z,36.66260613394979,-121.7528232,Tissue sample 5 Part of ear missing
100,{196AB800-A8A8-4B37-8678-00BB397A9503},2025-07-12T18:14:49Z,RC2025-10,40.51,125,48,184,98,Not Reproductive,Female,Adult,68,NA,Dipodomys heermanni,Di,12,no,FONR,2025-07-12T18:07:12Z,36.66282057,-121.7529706,Tissue sample 10 NA
110,{D057E7A0-9BBE-4702-8D7D-A30BA7E35088},2025-07-13T17:13:51Z,RC2025-18,42.27,17,39,200,97,NA,Female,Adult,70,NA,Dipodomys heermanni,Di,106,NA,FONR,2025-07-13T17:06:29Z,36.6779562,-121.7677344,Tissue 18 NA
111,{495AC32D-A469-4AB6-8807-42D0445377FB},2025-07-13T17:45:09Z,RC2025-01,44.78,15,40,196,105,NA,Female,Adult,77,NA,Dipodomys heermanni,Di,124,NA,FONR,2025-07-13T17:36:55Z,36.68769905557998,-121.7803547,Tissue 1 NA
119,{2FD6F21D-BAD6-4DAB-8C82-679B58CE154E},2025-07-13T15:55:16Z,RC2025-04,43.87,17,45,189,96,Reproductive,Female,Adult,85,NA,Dipodomys heermanni,Di,112,no,FONR,2025-07-13T15:41:44Z,36.66330780837386,-121.7534649,Tissue 4 NA
120,{09964AF5-0BEA-44F6-B7D8-3841FAC75F16},2025-07-13T16:01:06Z,RC2025-08,41.02,17,41,206,114,Not Reproductive,Male,Adult,75,NA,Dipodomys heermanni,Di,113,no,FONR,2025-07-13T15:55:25Z,36.66300672431274,-121.7531359,Tissue 8 NA
121,{F1100A79-8394-483B-8095-250519A2B38E},2025-07-13T16:15:48Z,RC2025-03,45.44,16,41,207,110,Lactating,Female,Adult,85,NA,Dipodomys heermanni,Di,114,no,FONR,2025-07-13T16:05:41Z,36.66300317382354,-121.7531324,Tissue 3 NA
136,{0DC47928-75E9-412F-9E46-B45E2161492D},2025-09-28T15:18:34Z, RC2025-21,42.95,16,41,195,106,NA,NA,Adult,NA,NA,Dipodomys heermanni,Di,123,NA,FONR,2025-09-28T15:09:23Z,NA,NA,2nd head width 19.62 tissue # RC2025-21 Forelimb length 30.84
142,{42EEBEAE-9B89-4ED0-9180-EA58D503090A},2025-09-28T16:41:05Z,RC2025-27,44.2,16,40,196,100,Reproductive,Female,Adult,77,NA,Dipodomys heermanni,Di,121,no,FONR,2025-09-28T16:28:34Z,36.68749936277649,-121.7805275,"Head width 2: 17.93
Forelimb length: 32.38
Vial: RC2025-27 Tissue NA"
155,{C0D1B3B4-432C-41EC-8C49-174B5806A752},2025-10-18T15:19:15Z,"RC2025-06
",44.01,16,43,203,110,Not Reproductive,Female,Adult,69,NA,Dipodomys heermanni,Di,120,no,FONR,2025-10-18T15:07:05Z,36.66313093333333,-121.7534262,"Forelimb length: 35.68
Head Width pm: 25.56
Tissue sample: 6
Nose bleeding NA"
156,{C89EDF0C-171A-4089-BA7C-E7B634E789E2},2025-10-18T15:34:47Z,RC2025-01,36.11,16,38,180,107,Unknown,Male,Adult,70,NA,Dipodomys heermanni,Di,407,yes,FONR,2025-10-18T15:21:48Z,36.66312946666667,-121.7533687,"Missing 1 toe on front right hand
Forelimb length: 37.76mm
Head Width B: 18.28mm
Head Width pm: 26.05mm
Tissue #: 1 NA"
162,{8811F861-4BFE-492A-9032-F86B7FA72746},2025-10-18T16:13:51Z,RC2025-11,43.72,17,42,197,98,NA,NA,Adult,64,NA,Dipodomys heermanni,Di,119,no,FONR,2025-10-18T16:09:06Z,36.66259986666667,-121.7528449,"Head Width pm: 25.93mm
Head Width b: 23.68mm
Forelimb length: 28.32mm
Sample #: 11 NA"
165,{BBD6D5CC-8CDE-41DF-80A9-E1A5D63D0BD0},2025-10-18T16:50:15Z,"RC2025-20
",41.65,18,41,202,110,Unknown,Female,Adult,67,NA,Dipodomys heermanni,Di,118,no,FONR,2025-10-18T16:37:22Z,36.66633936666667,-121.7655512,"Sample: 20
Forelimb length: 33.53
Head Width b: 21.99
Extra finger/claw on front and hind limbs
Black facial marks contiguous/continuous
Head seemed narrower than usual NA"
167,{5EABB43D-2206-4ACC-98A1-C9F1FB3B79B2},2025-10-18T17:05:11Z,"RC2025-25
",44.2,16,44,194,103,NA,Female,Adult,71,NA,Dipodomys heermanni,Di,117,no,FONR,2025-10-18T16:56:11Z,36.66723401666666,-121.7661409,"Forelimb length: 33.68mm
Head Width pm: 23.82mm
Head Width b: 23.04mm
Sample #: 25
Very strong light patches above eye
Black tail had two black strips NA"
176,{E351002D-7BFA-4018-9761-38A378B9B1A2},2025-10-19T14:35:52Z,RC2025-19,41.97,16,41,190,106,NA,NA,Adult,65,NA,Dipodomys heermanni,Di,992,NA,FONR,2025-10-19T14:28:47Z,36.68744227,-121.7794565,Tissue #19 NA
