OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length_Nail_to_Elbow,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length_Notch,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,LOC,DT,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,NOTES,Foot_mm,Subspecies_Code,Species_Code,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,date_time,KRAT_Forelimb_Width_mm,esrignss_orthometric_height,esrignss_correction_source_type,esrignss_correction_source_name,esrignss_ntrip_mount_point,esrignss_antenna_height,esrignss_receiver_gcs,esrignss_receiver_gcs_wkid,esrignss_receiver_ref_epoch,esrignss_profile_has_hor_xform,esrignss_profile_hor_xform,esrignss_receiver_geoid,esrignss_h_95_status,esrignss_custom_attributes,Date_and_time,Weight_bag_only,Teeth
1,{12890BA2-1619-41C5-AE55-5B1D7D252FFB},2025-11-08T16:01:31Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,Did not tag,NA,51,5,3,39,18,15,51,10,7,17,15,46,233,122,Non-Reproductive,Female,Adult,82,100,Ve,Di,NA,No,Yes,Hastings,2025-11-08T16:01:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,{A720CCF9-2B13-4707-B8D2-426CE01002E3},2025-11-08T16:19:58Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,22,48.38,5.34,3.03,34.76,23.8,21.52,45.51,8,7,18,15,43,211,93,Unknown,Unknown,Adult,76,94,He,Di,108,Yes,Yes,Hastings,2025-11-08T16:20:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,{E90F2F02-96F0-4E67-A73E-A4B3C000C67D},2025-11-08T17:07:49Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,23,51.19,5.83,3.51,34.62,20.38,19.96,47.27,10,6,17,17,45,236,NA,NA,NA,NA,NA,88,He,Di,948,Yes,No,Hastings,2025-11-08T17:09:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,{865AF038-9B16-44EE-91E3-5A336500AB37},2025-11-08T17:19:22Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,24,52.34,5.74,3.96,37.41,24.03,18.01,47,9,7,20,15,46,233,110,Non-Reproductive,Male,Adult,89,110,Ve,Di,917,No,No,Hastings,2025-11-08T17:19:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,{B464F9EF-9309-4CA1-8F9C-1D45FF69CA99},2025-11-09T16:19:56Z,rmcrowle@ucsc.edu_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,52.9,5.57,2.74,36.15,20.51,22.52,47.7,10,8,20,16,48,239,128,Non-Reproductive,Female,Adult,82,105,Ve,Di,910,No,Yes,Hastings,2025-11-09T16:15:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,{909C48BB-D2E9-444E-BCDA-7D063BB53D50},2025-11-09T17:49:43Z,jotmille_UCSC,2026-06-25T13:37:59Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ve,Di,817,Yes,Yes,Hastings,2025-11-09T17:49:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,{FE777AE5-3A52-4F26-B886-A96870C81D5D},2025-11-09T18:07:58Z,jotmille_UCSC,2025-11-09T18:07:58Z,jotmille_UCSC,"Escaped early, pictures provided by Hadley",NA,48.93,5.15,3.21,36.46,24.23,19.35,46.05,10,7,16,13,43,237,103,NA,NA,NA,NA,105,He,Di,Footprint number #2,No,Yes,Hastings,2025-11-09T18:08:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,{B3D53598-D12E-4EA8-AE01-C8D8015CDC12},2025-11-22T18:15:25Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,23.07,22.72,44.57,10,6,18,11,46,209,100,NA,Female,NA,78,95,Ve,Di,NA,No,No,Hastings,2025-11-22T18:15:28Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,{249F3771-070B-4272-B753-B653046018F3},2025-11-22T15:36:11Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,84,46.6,5.27,3.34,34.77,18.8,17.18,41.88,9,6,16,16,41,232,117,Non-Reproductive,Female,Adult,79,98,He,Di,127,No,No,Hastings,2025-11-22T15:36:13Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,{E56D9DC1-BF1A-4B30-BD19-9762A5035A7C},2025-11-22T15:52:51Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Ve,Di,948,Yes,Yes,Hastings,2025-11-22T15:52:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
