OBJECTID,GlobalID,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,CreationDate,Creator,EditDate,Editor,NOTES,Ear_mm,Foot_mm,Tail_mm,Body_mm,Sex,Reproductive_Stage,Life_Stage,Animal_Weight_g,Subspecies_Code,Species_Code,genus,Tag_Number,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,location_code,date_time,KRAT_Notes,KRAT_Hind_Toe_Length,KRAT_Hind_Limb_Length,KRAT_Foot_Width_mm,KRAT_Foot_Length_mm,KRAT_Hand_Width_mm,KRAT_Finger_Length,KRAT_Wrist_Width_mm,KRAT_Forelimb_Length_mm,KRAT_Teeth,KRAT_Head_Width_mm,KRAT_Head_Length_mm,all_nums,all_labels,num1,num2,lab1,lab2,Maxillary_Head_Width,Bolea_Head_Width,Tissue_Sample
5,{FEB74BF2-0B74-42AD-B6D5-9F09D9F4F6B8},0.010211087,116.8659357545387,71.75609588623047,2,iPhone 15 Pro Max,4.74865153,4.487087438102936,36.38159445016123,-121.5428961,591.2760723438114,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:08:03Z,NA,NA,NA,NA,2025-06-22T13:16:28Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,Released before tagging,18,48,230,108,NA,NA,NA,83,NA,NA,Di,NA,NA,NA,NA,yes,Hastings,2025-06-22T13:08:06Z,NA,NA,NA,NA,NA,NA,NA,1.86,,4,37.73,45.35,,,37.73,NA,NA,NA,37.73,NA,NA
6,{C49E51CE-1C75-4A5F-8528-AF20F7F4AE0E},0,205.7792880714765,15.51550865,2,iPhone 15 Pro Max,4.748651530191761,4.817027213502873,36.38172758801286,-121.5429778,593.1015183320269,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:18:26Z,NA,NA,NA,NA,2025-06-22T13:32:05Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,NA,19,45,249,103,Female,Unknown,Adult,NA,NA,NA,Di,748,NA,NA,NA,NA,Hastings,2025-06-22T13:20:10Z,Forelomb length 32.02,NA,NA,NA,NA,NA,NA,2.33,32.02,3.5,28.58,45.44,,,28.58,NA,NA,NA,28.58,NA,
8,{A88CF80E-8AE9-4F14-9A3D-3A058082F354},NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-22T14:18:18Z,jotmille_UCSC,2026-01-29T19:11:19Z,jotmille_UCSC,NA,20,44,222,97,Female,Unknown,NA,95,NA,NA,Di,102,NA,NA,NA,NA,Hastings,2025-06-22T14:03:35Z,Forelimb 34 l,NA,NA,NA,NA,NA,NA,2.3,34,4.5,31.27,45.93,,,31.27,NA,NA,NA,31.27,NA,
9,{5890F4A3-D106-4FD9-A82F-112A53FF3672},NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-22T14:40:30Z,jotmille_UCSC,2026-01-29T19:11:17Z,jotmille_UCSC,NA,19,45,176,105,Female,Unknown,NA,91,NA,NA,Di,Not tagged,NA,NA,NA,NA,Hastings,2025-06-22T14:33:09Z,Forelimb l 36.83 released before tagging and prints,NA,NA,NA,NA,7,NA,2.95,36.83,NA,32.64,47.06,,,32.64,NA,NA,NA,32.64,NA,
74,{C20A9398-35A6-48E9-AE2A-2DFFF20CA52D},0,164.1805644357423,30.82740211486816,2,iPhone 15 Pro Max,4.748651530191761,4.314171434602757,36.38459357026601,-121.5493463,562.4488804340363,NA,NA,NA,NA,NA,NA,NA,2025-06-22T16:39:31Z,NA,NA,NA,NA,2025-06-22T16:50:27Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,NA,17,48,178,88,Female,NA,Adult,NA,NA,NA,Di,108,NA,NA,NA,NA,Hastings,2025-06-22T16:39:34Z,34.6,NA,NA,NA,NA,7,NA,3.58,34.6,3.5,30.6,41.76,,,30.6,NA,NA,NA,30.6,NA,
79,{10BF9F13-01B5-49BB-B553-A68EFAD124FE},0,NA,338.6339111328125,2,iPhone 15 Pro Max,8.751679597767932,6.687610997323342,36.68743170695581,-121.7795968,35.55832317750901,NA,NA,NA,NA,NA,NA,NA,2025-07-12T15:18:24Z,NA,NA,NA,NA,2025-07-12T15:31:38Z,jotmille_UCSC,2025-07-13T19:40:46Z,jotmille_UCSC,NA,16,42,185,101,Female,NA,Adult,65,NA,He,Di,101,NA,NA,NA,NA,FONR,2025-07-12T15:18:27Z,Tissue 17,13,48,NA,NA,8,9,3.37,34.87,NA,34.5,42,,,34.5,NA,NA,NA,34.5,NA,RC2025-17
85,{16E7C340-4355-4874-8791-F7EF2761148F},0.3145843507043788,15.09252885150295,320.0762329101562,2,iPhone 15 Pro Max,4.879153465,3.813497308935676,36.6783161,-121.7676939,39.35239499807358,NA,NA,NA,NA,NA,NA,NA,2025-07-12T16:12:24Z,NA,NA,NA,NA,2025-07-12T16:14:24Z,jotmille_UCSC,2025-07-13T19:40:40Z,jotmille_UCSC,NA,14,40,197,96,Female,NA,Adult,75,NA,He,Di,110,NA,NA,NA,NA,FONR,2025-07-12T16:04:41Z,Tissue 15,NA,46.68,NA,NA,8,7,3.23,31.44,NA,32.22,43.35,,,32.22,NA,NA,NA,32.22,NA,RC2025-15
93,{76E00EAD-2023-4012-B853-FFA25979B897},0,176.6954962465956,359.8787536621094,2,iPhone 15 Pro Max,6.202327508,4.841329234578986,36.66717448403249,-121.766191,43.91808188,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:08:44Z,NA,NA,NA,NA,2025-07-12T17:16:45Z,jotmille_UCSC,2025-07-12T17:16:45Z,jotmille_UCSC,NA,15,43,200,99,Male,Unknown,NA,66,NA,He,Di,103,NA,NA,NA,NA,FONR,2025-07-12T17:08:45Z,Tissue 16,12,48,NA,NA,6,8,3.13,31.3,NA,29.56,43.66,,,29.56,NA,NA,NA,29.56,NA,RC2025-16
97,{334CEBBF-60A1-411A-9C22-4DA9081D7352},0,65.93560435,217.6851959228516,2,iPhone 15 Pro Max,6.642786320608371,5.952872322255056,36.66295344328213,-121.7529567,47.54577584471554,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:33:18Z,NA,NA,NA,NA,2025-07-12T17:45:37Z,jotmille_UCSC,2025-07-13T19:40:22Z,jotmille_UCSC,NA,16,42,188,118,Female,Lactating,Adult,82,NA,He,Di,109,NA,NA,NA,NA,FONR,2025-07-12T17:33:18Z,Tissue 9,12,44.84,NA,NA,6,8.5,3.14,32.11,NA,27.07,NA,,,27.07,NA,NA,NA,27.07,NA,RC2025-09
99,{C2335301-C703-461F-B05F-E33666370ADE},0,294.8392080146547,250.0940856933594,2,iPad mini 6,3.610149281,3.143419389,36.66260613394979,-121.7528232,47.22095060348511,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:49:01Z,NA,NA,NA,NA,2025-07-12T18:05:12Z,jotmille_UCSC,2025-07-13T19:49:39Z,jotmille_UCSC,Part of ear missing,15,39,182,110,Male,Reproductive,Adult,79,NA,He,Di,407,no,no,yes,yes,FONR,2025-07-12T17:50:15Z,Tissue sample 5,14,48.07,NA,39,6,8,3.08,30.16,NA,31.01,39.77,,,31.01,NA,NA,NA,31.01,NA,RC2025-05
